Long Method:
	gui.screens.ProblemScreen	private void initComponents() 	MaxVars	B1	0/2
	gui.screens.StartScreen	private void initComponents() 	LabelMail	B1	0/2
	gui.screens.StartScreen	private void initComponents() 	LabelName	B1	0/2
	gui.screens.StartScreen	private void initComponents() 	Remember	B1	0/2
	utils.Mail	public boolean sendIssuetoAdmin(java.lang.String, java.lang.String, java.lang.String) 	adminInfo	B2	0/2
	utils.Mail	public boolean sendProblemToUser(java.lang.String, utils.Problem) 	adminInfo	B2	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B2	1/22
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B13	0/19
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B14	0/17
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B15	0/16
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B16	0/14
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	vars_l	B18	0/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	mVars	B2	1/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	mVars	B11	0/2
	gui.screens.ProblemScreen	private void ButtonDoneActionPerformed(java.awt.event.ActionEvent) 	variables	B2	1/8
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	m_Time	B2	1/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	m_Time	B9	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_type	B2	1/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_type	B7	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_description	B2	1/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_description	B5	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_name	B2	1/3
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	p_name	B3	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	varExc	B16	3/6
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	varExc	B18	0/2
	utils.CompilerRandTex	public static int versionCompare(java.lang.String, java.lang.String) 	i	B1	2/5
	utils.CompilerRandTex	public static int versionCompare(java.lang.String, java.lang.String) 	i	B2	0/2
	utils.XML	public static utils.Problem readXMLProblem(java.lang.String) throws java.lang.Exception	varInt	B16	3/6
	gui.screens.ProjectScreen	private void ButtonLoadActionPerformed(java.awt.event.ActionEvent) 	path_chooser	B3	3/5
	solverandoptimizer.problems.BinaryProblemInternal	public void evaluate(org.uma.jmetal.solution.BinarySolution) 	counterOnes	B1	3/6
	solverandoptimizer.problems.BinaryProblemInternal	public void evaluate(org.uma.jmetal.solution.BinarySolution) 	counterZeroes	B1	3/6
	gui.GUI	public void child_screen(int) 	child	B1	11/22
	gui.screens.MainScreen	private void JarPathMouseClicked(java.awt.event.MouseEvent) 	path_chooser	B1	3/5
	gui.screens.MainScreen	private void MenuOpLoadActionPerformed(java.awt.event.ActionEvent) 	path_chooser	B1	3/5

Type Checking:
	utils.Variable::public static java.lang.String TypeToString(int) 

God Class:
	gui.screens.MainScreen	[gui.screens.MainScreen::javax.swing.JTable TableVars, gui.screens.MainScreen::javax.swing.JComboBox<java.lang.String> VariableType, gui.screens.MainScreen::ButtonAddActionPerformed(java.awt.event.ActionEvent):void, gui.screens.MainScreen::VariableTypeActionPerformed(java.awt.event.ActionEvent):void, gui.screens.MainScreen::updateProblemData():void, gui.screens.MainScreen::ButtonRemoveActionPerformed(java.awt.event.ActionEvent):void]
	utils.CompilerRandTex	[utils.CompilerRandTex::java.lang.String rscript, utils.CompilerRandTex::ini_R():void, utils.CompilerRandTex::compileR(java.lang.String):void]
	utils.CompilerRandTex	[utils.CompilerRandTex::java.lang.String miktex, utils.CompilerRandTex::compileLatex(java.lang.String):void, utils.CompilerRandTex::compileEPS(java.lang.String):void, utils.CompilerRandTex::ini_Tex():void]

Feture Envy:
	Não foram detetados
